pedigree,identity,name,year,location,rep,entry,env,nir_date,nir_time,nir_calibration,pc,pub,coat,hillum,pure,pub_code,coat_code,hillum_color,std,sht,lod,mat,ph,flw_dap,daf_831,dap,hsw,moisture,protein,oil,cysteine,cys_norm,methionine,meth_norm,cys_met,cys_met_norm,shikimic,bcaa,glutamic,asp,shikimic_norm,bcaa_norm,glutamic_norm,asp_norm,lysine,threonine,tryptophan,isoleucine,leucine,histidine,phenylalanine,valine,alanine,arginine,aspartic_acid,glutamic_acid,glycine,proline,serine,tyrosine,hydroxylysine,hydroxyproline,lanthionine,ornithine,taurine,sucrose,raffinose,stachyose,fiber,linoleic,linolenic_acid,ash,oleic_acid,palmitic,stearic,starch,adf,ndf,available_lysine,verbascose,fructose,glucose
AG5534,AG_5534_2020_ATH_2,AG5534,2020,ATH,2,10425,ATH_2020,02_17_2021,10AM,19_Whole_Soybeans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6,6.99,40.49,22.96,0.56,1.383057545,0.57,1.407755001,1.13,2.790812546,3.95,6.98,12.79,9.31,9.755495184,17.2388244,31.58804643,22.99333169,2.64,1.53,0.41,1.93,3.08,1.01,2.08,1.97,1.7,2.78,4.57,7.11,1.73,1.89,1.8,1.46,0.05,0.08,0.04,0.02,0.04,5.13,0.78,3.56,5.93,55.58,6.44,5.74,22.6,9.41,3.74,2.78,16.36,17.28,2.57,1.21,0.59,0.44
AG5534,AG_5534_2020_ATH_1,AG5534,2020,ATH,1,10125,ATH_2020,03_05_2021,2PM,19_Whole_Soybeans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6,6.6,38.94,22.79,0.54,1.386748844,0.54,1.386748844,1.08,2.773497689,3.8,6.76,12.28,8.97,9.758602979,17.36004109,31.53569594,23.03543914,2.53,1.47,0.4,1.89,2.96,0.98,2,1.91,1.65,2.68,4.43,6.83,1.68,1.79,1.68,1.4,0.06,0.09,0.08,0.02,0.04,5.75,0.86,3.6,6.62,54.77,6.68,5.53,24.07,10.21,3.5,3.25,16.49,17.84,2.44,1.26,0.72,0.43
AG5534,AG_5534_2020_ATH_2,AG5534,2020,ATH,2,10425,ATH_2020,02_17_2021,10AM,19_Whole_Soybeans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6,6.99,40.06,22.48,0.59,1.472790814,0.58,1.447828258,1.17,2.920619071,3.9,6.95,12.78,9.28,9.735396905,17.34897654,31.90214678,23.16525212,2.61,1.53,0.41,1.91,3.07,1.02,2.05,1.97,1.7,2.77,4.56,7.12,1.71,1.87,1.74,1.44,0.05,0.09,0.06,0.02,0.03,5.51,0.84,3.38,6.28,55.04,6.1,5.64,23.57,10.63,3.8,2.54,15.39,17.12,2.55,1.42,0.71,0.41
AG5534,AG_5534_2020_ATH_1,AG5534,2020,ATH,1,10125,ATH_2020,03_05_2021,2PM,19_Whole_Soybeans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6,6.6,40.39,22.66,0.59,1.460757613,0.58,1.43599901,1.17,2.896756623,3.94,6.99,12.82,9.35,9.754889824,17.30626393,31.74052983,23.14929438,2.62,1.54,0.43,1.93,3.08,1.02,2.07,1.98,1.7,2.77,4.61,7.16,1.74,1.87,1.78,1.44,0.05,0.08,0.05,0.02,0.03,5.08,0.72,3.61,6.3,54.95,6.87,5.65,22.85,9.84,3.23,2.35,14.98,16.71,2.56,1.48,0.63,0.39
AG5534,AG5534_2021_ATH_1,AG5534,2021,ATH,1,6325,ATH_2021,NA,NA,2021_Soybean_Whole,Tan,TW,Y,BK,6325,1,1,4,10,1,1,13,88.05333334,NA,43,135,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG5534,AG5534_2021_ATH_1,AG5534,2021,ATH,1,6325,ATH_2021,NA,NA,2021_Soybean_Whole,Tan,TW,Y,BK,6325,1,1,4,10,1,1,13,84.66666666,NA,43,135,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG5534,AG5534_2021_ATH_2,AG5534,2021,ATH,2,6525,ATH_2021,01_28_2022,4PM,2021_Soybean_Whole,Tan,TW,Y,BK,6625,1,1,4,10,1,1,13,55.88,NA,43,135,19.3,7.8,40.77,22.13,0.58,1.422614668,0.56,1.373558989,1.14,2.796173657,4.09,7.12,13.2,9.46,10.03188619,17.46382144,32.37674761,23.20333579,2.68,1.55,0.48,1.99,3.12,1.05,2.11,2.01,1.73,2.95,4.67,7.24,1.76,1.96,1.82,1.5,0.06,0.07,0.1,0.03,0.07,4.46,0.89,3.74,6.3,52.83,7.94,5.63,22.62,10.27,3.8,3.61,14.31,16.42,2.6,1.05,0.63,0.39
AG5534,AG5534_2021_ATH_2,AG5534,2021,ATH,2,6525,ATH_2021,01_28_2022,4PM,2021_Soybean_Whole,Tan,TW,Y,BK,6625,1,1,4,10,1,1,13,52.49333334,NA,43,135,19.3,7.8,40.77,22.13,0.58,1.422614668,0.56,1.373558989,1.14,2.796173657,4.09,7.12,13.2,9.46,10.03188619,17.46382144,32.37674761,23.20333579,2.68,1.55,0.48,1.99,3.12,1.05,2.11,2.01,1.73,2.95,4.67,7.24,1.76,1.96,1.82,1.5,0.06,0.07,0.1,0.03,0.07,4.46,0.89,3.74,6.3,52.83,7.94,5.63,22.62,10.27,3.8,3.61,14.31,16.42,2.6,1.05,0.63,0.39
AG5534,AG5534_2021_ATH_2,AG5534,2021,ATH,2,6525,ATH_2021,3_4_2022,4PM,2021_Soybean_Whole,Tan,TW,Y,BK,6625,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,19.3,6.01,39.75,19.44,0.61,1.534591195,0.55,1.383647799,1.16,2.918238994,3.91,6.88,12.71,9.22,9.836477987,17.3081761,31.97484277,23.19496855,2.66,1.51,0.4,1.91,3.02,1.02,2.03,1.95,1.68,2.84,4.5,6.91,1.71,1.94,1.73,1.48,0.05,0.09,0.07,0.02,0.07,6.07,0.78,4.23,6.3,57.11,9.96,5.44,28.05,10.6,3.7,5.75,14.35,16.09,2.57,0.87,0.64,0.39
AG5534,AG5534_2021_ATH_1,AG5534,2021,ATH,1,6425,ATH_2021,3_4_2022,4PM,2021_Soybean_Whole,Tan,TW,Y,BK,6325,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,19,5.86,40.29,22.39,0.54,1.340282949,0.56,1.389923058,1.1,2.730206006,4.01,6.96,12.9,9.25,9.952841896,17.274758,32.01787044,22.95855051,2.65,1.51,0.47,1.94,3.05,1.01,2.07,1.97,1.7,2.89,4.53,7.04,1.71,1.96,1.77,1.47,0.04,0.1,0.09,0.02,0.07,4.99,0.73,4.17,5.94,59.58,6.44,5.4,32.52,9.95,3.53,5.97,15.05,17.22,2.56,0.92,0.62,0.35
